date,btc_price,pcr,iv,iv_skew,volatility,returns_20d
2021-01-01 02:00:00,29388.94,0.5,78.07808340998795,5.454785383332251,70.0,
2021-01-02 02:00:00,32203.64,0.5,54.03904170499398,4.7219441898418175,,
2021-01-03 02:00:00,33063.48,0.5,46.02602780332932,5.067534611216313,,
2021-01-04 02:00:00,32030.55,0.5,30.0,4.706324238772229,,
2021-01-05 02:00:00,34038.29,0.5,30.0,5.126262830398138,,
2021-01-06 02:00:00,36849.86,0.5,30.0,4.773362640600387,,
2021-01-07 02:00:00,39479.41,0.5,30.0,4.886180615361254,,
2021-01-08 02:00:00,40636.24,0.5,30.0,5.331509226856275,,
2021-01-09 02:00:00,40236.66,0.5,30.0,4.846983481980008,,
2021-01-10 02:00:00,38202.08,0.5,30.0,5.215166191585054,,
2021-01-11 02:00:00,35496.03,0.5,30.0,5.099818970824749,,
2021-01-12 02:00:00,34058.4,0.5,30.0,4.645451510937358,,
2021-01-13 02:00:00,37380.85,0.5,30.0,5.260297459417219,,
2021-01-14 02:00:00,39155.58,0.5,30.0,5.271930468805901,,
2021-01-15 02:00:00,36790.17,0.5,30.0,5.3071079956804414,,
2021-01-16 02:00:00,36025.26,0.5,30.0,4.914042543183455,,
2021-01-17 02:00:00,35839.51,0.5,30.0,4.70328159681698,,
2021-01-18 02:00:00,36623.04,0.5,30.0,5.1025485350079265,,
2021-01-19 02:00:00,35932.79,0.5,30.0,5.062684405076407,,
2021-01-20 02:00:00,35501.38,0.5,30.0,4.983686222052643,,
2021-01-21 02:00:00,30840.3,0.6415236220073366,70.0,5.7111126633988425,116.47356567287375,0.049384564397354946
2021-01-22 02:00:00,33008.02,0.8045511479539411,107.73092297440321,5.975681939016672,113.08344640430934,0.02497792175046043
2021-01-23 02:00:00,32107.29,0.979331716271911,146.152968115396,5.761504934671605,113.25404331484683,-0.02891982332168308
2021-01-24 02:00:00,32283.66,0.9829049692048427,144.04658710631202,6.464146559526403,112.37770546335585,0.007902143422451324
2021-01-25 02:00:00,32275.27,1.035287576330959,145.68844043604915,6.370857780506782,109.02110579705604,-0.05179519887749939
2021-01-26 02:00:00,32516.52,1.1315230590401975,141.1544070032529,7.682344036711145,102.46897145606653,-0.11759447661402245
2021-01-27 02:00:00,30423.05,1.2552147823668134,135.23028914164306,6.106353669248563,99.43889476521068,-0.22939451222801965
